UnixTime,Latitude,Longitude,SSID_1,RSSI(dBm)_1,Obstacle_1,latitude_1,longitude_1,SSID_2,RSSI(dBm)_2,Obstacle_2,latitude_2,longitude_2,SSID_3,RSSI(dBm)_3,Obstacle_3,latitude_3,longitude_3
2022-07-20 11:14:37+00:00,35.15864898,136.9243929,1,-75,0,35.1586129,136.9246969,2,-63,0,35.1586384,136.924374,3,-72,0,35.1589788,136.9244773
2022-07-20 11:14:37+00:00,35.15864898,136.9243929,1,-75,0,35.1586129,136.9246969,3,-72,0,35.1589788,136.9244773,2,-63,0,35.1586384,136.924374
2022-07-20 11:14:37+00:00,35.15864898,136.9243929,2,-63,0,35.1586384,136.924374,1,-75,0,35.1586129,136.9246969,3,-72,0,35.1589788,136.9244773
2022-07-20 11:14:37+00:00,35.15864898,136.9243929,2,-63,0,35.1586384,136.924374,3,-72,0,35.1589788,136.9244773,1,-75,0,35.1586129,136.9246969
2022-07-20 11:14:37+00:00,35.15864898,136.9243929,3,-72,0,35.1589788,136.9244773,1,-75,0,35.1586129,136.9246969,2,-63,0,35.1586384,136.924374
2022-07-20 11:14:37+00:00,35.15864898,136.9243929,3,-72,0,35.1589788,136.9244773,2,-63,0,35.1586384,136.924374,1,-75,0,35.1586129,136.9246969
2022-07-20 11:14:38+00:00,35.15864898,136.9243929,1,-75,0,35.1586129,136.9246969,2,-63,0,35.1586384,136.924374,3,-72,0,35.1589788,136.9244773
2022-07-20 11:14:38+00:00,35.15864898,136.9243929,1,-75,0,35.1586129,136.9246969,3,-72,0,35.1589788,136.9244773,2,-63,0,35.1586384,136.924374
2022-07-20 11:14:38+00:00,35.15864898,136.9243929,2,-63,0,35.1586384,136.924374,1,-75,0,35.1586129,136.9246969,3,-72,0,35.1589788,136.9244773
2022-07-20 11:14:38+00:00,35.15864898,136.9243929,2,-63,0,35.1586384,136.924374,3,-72,0,35.1589788,136.9244773,1,-75,0,35.1586129,136.9246969
2022-07-20 11:14:38+00:00,35.15864898,136.9243929,3,-72,0,35.1589788,136.9244773,1,-75,0,35.1586129,136.9246969,2,-63,0,35.1586384,136.924374
2022-07-20 11:14:38+00:00,35.15864898,136.9243929,3,-72,0,35.1589788,136.9244773,2,-63,0,35.1586384,136.924374,1,-75,0,35.1586129,136.9246969
2022-07-20 11:14:39+00:00,35.15864898,136.9243929,1,-75,0,35.1586129,136.9246969,2,-63,0,35.1586384,136.924374,3,-72,0,35.1589788,136.9244773
2022-07-20 11:14:39+00:00,35.15864898,136.9243929,1,-75,0,35.1586129,136.9246969,3,-72,0,35.1589788,136.9244773,2,-63,0,35.1586384,136.924374
2022-07-20 11:14:39+00:00,35.15864898,136.9243929,2,-63,0,35.1586384,136.924374,1,-75,0,35.1586129,136.9246969,3,-72,0,35.1589788,136.9244773
2022-07-20 11:14:39+00:00,35.15864898,136.9243929,2,-63,0,35.1586384,136.924374,3,-72,0,35.1589788,136.9244773,1,-75,0,35.1586129,136.9246969
2022-07-20 11:14:39+00:00,35.15864898,136.9243929,3,-72,0,35.1589788,136.9244773,1,-75,0,35.1586129,136.9246969,2,-63,0,35.1586384,136.924374
2022-07-20 11:14:39+00:00,35.15864898,136.9243929,3,-72,0,35.1589788,136.9244773,2,-63,0,35.1586384,136.924374,1,-75,0,35.1586129,136.9246969
2022-07-20 11:14:40+00:00,35.15864898,136.9243929,1,-75,0,35.1586129,136.9246969,2,-63,0,35.1586384,136.924374,3,-72,0,35.1589788,136.9244773
2022-07-20 11:14:40+00:00,35.15864898,136.9243929,1,-75,0,35.1586129,136.9246969,3,-72,0,35.1589788,136.9244773,2,-63,0,35.1586384,136.924374
2022-07-20 11:14:40+00:00,35.15864898,136.9243929,2,-63,0,35.1586384,136.924374,1,-75,0,35.1586129,136.9246969,3,-72,0,35.1589788,136.9244773
2022-07-20 11:14:40+00:00,35.15864898,136.9243929,2,-63,0,35.1586384,136.924374,3,-72,0,35.1589788,136.9244773,1,-75,0,35.1586129,136.9246969
2022-07-20 11:14:40+00:00,35.15864898,136.9243929,3,-72,0,35.1589788,136.9244773,1,-75,0,35.1586129,136.9246969,2,-63,0,35.1586384,136.924374
2022-07-20 11:14:40+00:00,35.15864898,136.9243929,3,-72,0,35.1589788,136.9244773,2,-63,0,35.1586384,136.924374,1,-75,0,35.1586129,136.9246969
